RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  223  229     0     0  con    0  1.0D+00  1.9D-01  2.507D+00 -2.105D+02
  224  230     0     0  con    0  1.0D+00  7.5D-01  1.430D+00 -2.112D+02
  225  231     0     0  con    0  1.0D+00  1.3D+00  2.284D+00 -2.119D+02
  226  232     0     0  con    0  1.0D+00  1.8D+00  6.140D+00 -2.127D+02
  227  233     0     0  con    0  1.0D+00  1.6D+00  1.586D+00 -2.137D+02
  228  234     0     0  con    0  1.0D+00  1.9D-01  1.617D+00 -2.143D+02
  229  235     0     0  con    0  1.0D+00  9.2D-01  2.363D+00 -2.159D+02
  230  236     0     0  con    0  1.0D+00  2.6D+00  1.466D+01 -2.163D+02
  231  237     0     0  con    0  1.0D+00  2.1D-01  4.040D+00 -2.188D+02
  232  238     0     0  con    0  1.0D+00  1.0D+00  2.183D+00 -2.204D+02
  233  239     0     0  con    0  1.0D+00  1.9D+00  3.214D+00 -2.218D+02
  234  240     0     0  con    0  1.0D+00  2.4D+00  4.115D+00 -2.239D+02
  235  242     0     0  con    1  4.4D-01  2.9D+00  1.015D+01 -2.255D+02
  236  243     0     0  con    0  1.0D+00  2.7D+00  2.628D+00 -2.280D+02
  237  244     0     0  con    0  1.0D+00  1.5D+00  1.800D+00 -2.300D+02
  238  245     0     0  con    0  1.0D+00  3.5D+00  5.524D+00 -2.337D+02
  239  246     0     0  con    0  1.0D+00  3.8D+00  2.196D+01 -2.348D+02
  240  247     0     0  con    0  1.0D+00  5.8D-01  6.327D+00 -2.389D+02
  241  248     0     0  con    0  1.0D+00  2.8D-01  2.551D+00 -2.413D+02
  242  249     0     0  con    0  1.0D+00  1.1D+00  5.479D+00 -2.439D+02
  243  250     0     0  con    0  1.0D+00  2.9D+00  1.026D+01 -2.487D+02
  244  252     0     0  con    1  5.1D-01  3.5D+00  1.411D+01 -2.525D+02
  245  253     0     0  con    0  1.0D+00  3.8D+00  3.593D+00 -2.578D+02
  246  254     0     0  con    0  1.0D+00  2.1D+00  1.976D+00 -2.618D+02
  247  255     0     0  con    0  1.0D+00  4.2D+00  6.938D+00 -2.680D+02
  248  257     0     0  con    1  5.0D-01  2.4D+00  8.406D+00 -2.715D+02
  249  258     0     0  con    0  1.0D+00  9.9D-01  4.761D+00 -2.758D+02
  250  259     0     0  con    0  1.0D+00  1.6D+00  5.211D+00 -2.805D+02
  251  260     0     0  con    0  1.0D+00  7.7D-01  8.428D+00 -2.826D+02
  252  261     0     0  con    0  1.0D+00  5.3D-01  3.207D+00 -2.847D+02
  253  262     0     0  con    0  1.0D+00  1.2D+00  3.271D+00 -2.880D+02
